OTU,Class,Order,Family,Genus
OTU_274,Demospongiae,Biemnida,Biemnidae,
OTU_21,Demospongiae,Biemnida,,
OTU_346,Demospongiae,Chondrillida,,
OTU_132,Demospongiae,Dendroceratida,,
OTU_147,Demospongiae,Dendroceratida,Darwinellidae,
OTU_304,Demospongiae,Dendroceratida,Darwinellidae,Aplysilla
OTU_49,Demospongiae,Dendroceratida,Darwinellidae,Chelonaplysilla
OTU_1125,Demospongiae,Dictyoceratida,Dysideidae,
OTU_128,Demospongiae,Dictyoceratida,Dysideidae,
OTU_354,Demospongiae,Haplosclerida,Chalinidae,Haliclona
OTU_445,Demospongiae,Haplosclerida,Chalinidae,
OTU_722,Demospongiae,Haplosclerida,Chalinidae,Haliclona
OTU_213,Homoscleromorpha,Homosclerophorida,Plakinidae,Plakina
OTU_217,Homoscleromorpha,Homosclerophorida,Oscarellidae,Oscarella
OTU_58,Homoscleromorpha,Homosclerophorida,Oscarellidae,
OTU_6,Homoscleromorpha,Homosclerophorida,Plakinidae,Plakortis
OTU_88,Homoscleromorpha,Homosclerophorida,Oscarellidae,
OTU_306,Demospongiae,Poecilosclerida,Tedanidae,Tedania
OTU_310,Demospongiae,Poecilosclerida,Chondropsidae,
OTU_449,Demospongiae,Poecilosclerida,,
OTU_454,Demospongiae,Poecilosclerida,,
OTU_591,Demospongiae,Poecilosclerida,Coelosphaeridae,
OTU_602,Demospongiae,Poecilosclerida,,
OTU_111,Demospongiae,Suberitida,Halichondriidae,Hymeniacidon
OTU_142,Demospongiae,Suberitida,,
OTU_161,Demospongiae,Suberitida,Halichondriidae,Hymeniacidon
OTU_168,Demospongiae,Suberitida,,
OTU_195,Demospongiae,Suberitida,Halichondriidae,Halichondria
OTU_196,Demospongiae,Suberitida,,
OTU_1973,Demospongiae,Suberitida,Suberitidae,
OTU_2,Demospongiae,Suberitida,Suberitidae,Protosuberites
OTU_222,Demospongiae,Suberitida,Suberitidae,
OTU_223,Demospongiae,Suberitida,Suberitidae,Terpios
OTU_324,Demospongiae,Suberitida,Halichondriidae,Halichondria
OTU_45,Demospongiae,Suberitida,Suberitidae,Protosuberites
OTU_514,Demospongiae,Suberitida,Suberitidae,
OTU_92,Demospongiae,Suberitida,,
OTU_145,Demospongiae,Tethyida,Tethyidae,
OTU_506,Demospongiae,Tethyida,Tethyidae,Tethya
OTU_524,Demospongiae,Tethyida,Tethyidae,Tethya
OTU_907,Demospongiae,Tethyida,,