Sample,OTU1,OTU2,OTU7,OTU8,OTU9,OTU10,OTU11,OTU14,OTU15,OTU17,OTU19,OTU21,OTU23,OTU25,OTU26,OTU27,OTU28,OTU29,OTU30,OTU32,OTU37,OTU38,OTU41,OTU42,OTU43,OTU44,OTU46,OTU48,OTU49,OTU50,OTU51,OTU52,OTU53,OTU54,OTU55,OTU56,OTU57,OTU58,OTU59,OTU60,OTU62,OTU65,OTU66,OTU67,OTU68,OTU69,OTU70,OTU73,OTU74,OTU77,OTU78,OTU80,OTU84,OTU85,OTU86,OTU87,OTU88,OTU89,OTU90,OTU91,OTU93,OTU94,OTU97,OTU98,OTU101,OTU103,OTU104,OTU109,OTU111
ArmsMeso1,1,0,0,0,0,2,0,0,0,0,1,3,2,0,0,1,0,1,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArmsMeso2,0,0,0,0,0,5,0,0,1,1,0,2,2,0,0,1,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
ArmsMeso3,0,0,0,0,0,5,0,0,3,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,4,0,0,5,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0
ArmsMeso4,2,0,0,1,1,5,1,0,3,0,2,0,2,0,0,0,0,0,1,5,0,0,0,2,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0
ArmsMeso5,1,0,0,0,0,2,1,0,0,0,0,2,3,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,2,0,4,0,0,0,3,0,0,1,0,0,0,0,3,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0
ArmsMeso6,2,0,0,2,1,6,0,0,3,0,3,0,2,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
ArmsMeso7,0,0,0,1,0,5,0,0,2,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ArmsMeso8,0,0,0,0,1,5,0,0,1,0,0,2,1,0,2,1,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
ArmsMeso9,0,0,0,0,0,3,0,1,4,0,0,0,1,0,0,2,4,0,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ArmsMeso10,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ArmsMeso11,1,0,0,2,3,5,0,0,3,0,0,1,3,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2
ArmsMeso12,0,0,0,0,1,4,0,0,1,0,2,2,1,0,0,5,1,0,0,0,0,0,0,0,0,4,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ArmsMeso13,0,0,0,0,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
ArmsMeso14,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ArmsMeso15,2,0,0,3,1,3,0,0,1,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArmsMeso16,0,0,1,3,1,2,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,1,0,1,0,0,0,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ArmsMeso17,0,2,0,3,2,4,0,0,4,0,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArmsMeso18,1,1,0,0,1,3,3,0,3,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,4,0,0,0,0,3,0,0,0,2,0,2,0,5,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ArmsMeso19,0,0,0,5,3,4,0,1,5,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ArmsMeso20,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ArmsMeso21,0,0,0,0,0,3,1,0,2,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArmsMeso22,0,0,0,0,0,2,2,2,2,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0